"index","shortname","name","unicode","unicode_encoded","aliases","image"
"1",":grinning:","grinning face","1f600","😀","","!https://cdn.jsdelivr.net/emojione/assets/png/1f600.png?v=2.2.7!"
"2",":grin:","grinning face with smiling eyes","1f601","😁","","!https://cdn.jsdelivr.net/emojione/assets/png/1f601.png?v=2.2.7!"
"3",":joy:","face with tears of joy","1f602","😂","","!https://cdn.jsdelivr.net/emojione/assets/png/1f602.png?v=2.2.7!"
"4",":rofl:","rolling on the floor laughing","1f923","🤣",":rolling_on_the_floor_laughing:","!https://cdn.jsdelivr.net/emojione/assets/png/1f923.png?v=2.2.7!"
"5",":smiley:","smiling face with open mouth","1f603","😃","","!https://cdn.jsdelivr.net/emojione/assets/png/1f603.png?v=2.2.7!"
"6",":smile:","smiling face with open mouth and smiling eyes","1f604","😄","","!https://cdn.jsdelivr.net/emojione/assets/png/1f604.png?v=2.2.7!"
"7",":sweat_smile:","smiling face with open mouth and cold sweat","1f605","😅","","!https://cdn.jsdelivr.net/emojione/assets/png/1f605.png?v=2.2.7!"
"8",":laughing:","smiling face with open mouth and tightly-closed eyes","1f606","😆",":satisfied:","!https://cdn.jsdelivr.net/emojione/assets/png/1f606.png?v=2.2.7!"
"9",":wink:","winking face","1f609","😉","","!https://cdn.jsdelivr.net/emojione/assets/png/1f609.png?v=2.2.7!"
"10",":blush:","smiling face with smiling eyes","1f60a","😊","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60a.png?v=2.2.7!"
"11",":yum:","face savouring delicious food","1f60b","😋","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60b.png?v=2.2.7!"
"12",":sunglasses:","smiling face with sunglasses","1f60e","😎","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60e.png?v=2.2.7!"
"13",":heart_eyes:","smiling face with heart-shaped eyes","1f60d","😍","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60d.png?v=2.2.7!"
"14",":kissing_heart:","face throwing a kiss","1f618","😘","","!https://cdn.jsdelivr.net/emojione/assets/png/1f618.png?v=2.2.7!"
"15",":kissing:","kissing face","1f617","😗","","!https://cdn.jsdelivr.net/emojione/assets/png/1f617.png?v=2.2.7!"
"16",":kissing_smiling_eyes:","kissing face with smiling eyes","1f619","😙","","!https://cdn.jsdelivr.net/emojione/assets/png/1f619.png?v=2.2.7!"
"17",":kissing_closed_eyes:","kissing face with closed eyes","1f61a","😚","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61a.png?v=2.2.7!"
"18",":relaxed:","white smiling face","263a","☺","","!https://cdn.jsdelivr.net/emojione/assets/png/263a.png?v=2.2.7!"
"19",":slight_smile:","slightly smiling face","1f642","🙂",":slightly_smiling_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f642.png?v=2.2.7!"
"20",":hugging:","hugging face","1f917","🤗",":hugging_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f917.png?v=2.2.7!"
"21",":thinking:","thinking face","1f914","🤔",":thinking_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f914.png?v=2.2.7!"
"22",":neutral_face:","neutral face","1f610","😐","","!https://cdn.jsdelivr.net/emojione/assets/png/1f610.png?v=2.2.7!"
"23",":expressionless:","expressionless face","1f611","😑","","!https://cdn.jsdelivr.net/emojione/assets/png/1f611.png?v=2.2.7!"
"24",":no_mouth:","face without mouth","1f636","😶","","!https://cdn.jsdelivr.net/emojione/assets/png/1f636.png?v=2.2.7!"
"25",":rolling_eyes:","face with rolling eyes","1f644","🙄",":face_with_rolling_eyes:","!https://cdn.jsdelivr.net/emojione/assets/png/1f644.png?v=2.2.7!"
"26",":smirk:","smirking face","1f60f","😏","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60f.png?v=2.2.7!"
"27",":persevere:","persevering face","1f623","😣","","!https://cdn.jsdelivr.net/emojione/assets/png/1f623.png?v=2.2.7!"
"28",":disappointed_relieved:","disappointed but relieved face","1f625","😥","","!https://cdn.jsdelivr.net/emojione/assets/png/1f625.png?v=2.2.7!"
"29",":open_mouth:","face with open mouth","1f62e","😮","","!https://cdn.jsdelivr.net/emojione/assets/png/1f62e.png?v=2.2.7!"
"30",":zipper_mouth:","zipper-mouth face","1f910","🤐",":zipper_mouth_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f910.png?v=2.2.7!"
"31",":hushed:","hushed face","1f62f","😯","","!https://cdn.jsdelivr.net/emojione/assets/png/1f62f.png?v=2.2.7!"
"32",":sleepy:","sleepy face","1f62a","😪","","!https://cdn.jsdelivr.net/emojione/assets/png/1f62a.png?v=2.2.7!"
"33",":tired_face:","tired face","1f62b","😫","","!https://cdn.jsdelivr.net/emojione/assets/png/1f62b.png?v=2.2.7!"
"34",":sleeping:","sleeping face","1f634","😴","","!https://cdn.jsdelivr.net/emojione/assets/png/1f634.png?v=2.2.7!"
"35",":relieved:","relieved face","1f60c","😌","","!https://cdn.jsdelivr.net/emojione/assets/png/1f60c.png?v=2.2.7!"
"36",":nerd:","nerd face","1f913","🤓",":nerd_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f913.png?v=2.2.7!"
"37",":stuck_out_tongue:","face with stuck-out tongue","1f61b","😛","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61b.png?v=2.2.7!"
"38",":stuck_out_tongue_winking_eye:","face with stuck-out tongue and winking eye","1f61c","😜","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61c.png?v=2.2.7!"
"39",":stuck_out_tongue_closed_eyes:","face with stuck-out tongue and tightly-closed eyes","1f61d","😝","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61d.png?v=2.2.7!"
"40",":drooling_face:","drooling face","1f924","🤤",":drool:","!https://cdn.jsdelivr.net/emojione/assets/png/1f924.png?v=2.2.7!"
"41",":unamused:","unamused face","1f612","😒","","!https://cdn.jsdelivr.net/emojione/assets/png/1f612.png?v=2.2.7!"
"42",":sweat:","face with cold sweat","1f613","😓","","!https://cdn.jsdelivr.net/emojione/assets/png/1f613.png?v=2.2.7!"
"43",":pensive:","pensive face","1f614","😔","","!https://cdn.jsdelivr.net/emojione/assets/png/1f614.png?v=2.2.7!"
"44",":confused:","confused face","1f615","😕","","!https://cdn.jsdelivr.net/emojione/assets/png/1f615.png?v=2.2.7!"
"45",":upside_down:","upside-down face","1f643","🙃",":upside_down_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f643.png?v=2.2.7!"
"46",":money_mouth:","money-mouth face","1f911","🤑",":money_mouth_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f911.png?v=2.2.7!"
"47",":astonished:","astonished face","1f632","😲","","!https://cdn.jsdelivr.net/emojione/assets/png/1f632.png?v=2.2.7!"
"48",":frowning2:","white frowning face","2639","☹",":white_frowning_face:","!https://cdn.jsdelivr.net/emojione/assets/png/2639.png?v=2.2.7!"
"49",":slight_frown:","slightly frowning face","1f641","🙁",":slightly_frowning_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f641.png?v=2.2.7!"
"50",":confounded:","confounded face","1f616","😖","","!https://cdn.jsdelivr.net/emojione/assets/png/1f616.png?v=2.2.7!"
"51",":disappointed:","disappointed face","1f61e","😞","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61e.png?v=2.2.7!"
"52",":worried:","worried face","1f61f","😟","","!https://cdn.jsdelivr.net/emojione/assets/png/1f61f.png?v=2.2.7!"
"53",":triumph:","face with look of triumph","1f624","😤","","!https://cdn.jsdelivr.net/emojione/assets/png/1f624.png?v=2.2.7!"
"54",":cry:","crying face","1f622","😢","","!https://cdn.jsdelivr.net/emojione/assets/png/1f622.png?v=2.2.7!"
"55",":sob:","loudly crying face","1f62d","😭","","!https://cdn.jsdelivr.net/emojione/assets/png/1f62d.png?v=2.2.7!"
"56",":frowning:","frowning face with open mouth","1f626","😦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f626.png?v=2.2.7!"
"57",":anguished:","anguished face","1f627","😧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f627.png?v=2.2.7!"
"58",":fearful:","fearful face","1f628","😨","","!https://cdn.jsdelivr.net/emojione/assets/png/1f628.png?v=2.2.7!"
"59",":weary:","weary face","1f629","😩","","!https://cdn.jsdelivr.net/emojione/assets/png/1f629.png?v=2.2.7!"
"60",":grimacing:","grimacing face","1f62c","😬","","!https://cdn.jsdelivr.net/emojione/assets/png/1f62c.png?v=2.2.7!"
"61",":cold_sweat:","face with open mouth and cold sweat","1f630","😰","","!https://cdn.jsdelivr.net/emojione/assets/png/1f630.png?v=2.2.7!"
"62",":scream:","face screaming in fear","1f631","😱","","!https://cdn.jsdelivr.net/emojione/assets/png/1f631.png?v=2.2.7!"
"63",":flushed:","flushed face","1f633","😳","","!https://cdn.jsdelivr.net/emojione/assets/png/1f633.png?v=2.2.7!"
"64",":dizzy_face:","dizzy face","1f635","😵","","!https://cdn.jsdelivr.net/emojione/assets/png/1f635.png?v=2.2.7!"
"65",":rage:","pouting face","1f621","😡","","!https://cdn.jsdelivr.net/emojione/assets/png/1f621.png?v=2.2.7!"
"66",":angry:","angry face","1f620","😠","","!https://cdn.jsdelivr.net/emojione/assets/png/1f620.png?v=2.2.7!"
"67",":innocent:","smiling face with halo","1f607","😇","","!https://cdn.jsdelivr.net/emojione/assets/png/1f607.png?v=2.2.7!"
"68",":cowboy:","face with cowboy hat","1f920","🤠",":face_with_cowboy_hat:","!https://cdn.jsdelivr.net/emojione/assets/png/1f920.png?v=2.2.7!"
"69",":clown:","clown face","1f921","🤡",":clown_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f921.png?v=2.2.7!"
"70",":lying_face:","lying face","1f925","🤥",":liar:","!https://cdn.jsdelivr.net/emojione/assets/png/1f925.png?v=2.2.7!"
"71",":mask:","face with medical mask","1f637","😷","","!https://cdn.jsdelivr.net/emojione/assets/png/1f637.png?v=2.2.7!"
"72",":thermometer_face:","face with thermometer","1f912","🤒",":face_with_thermometer:","!https://cdn.jsdelivr.net/emojione/assets/png/1f912.png?v=2.2.7!"
"73",":head_bandage:","face with head-bandage","1f915","🤕",":face_with_head_bandage:","!https://cdn.jsdelivr.net/emojione/assets/png/1f915.png?v=2.2.7!"
"74",":nauseated_face:","nauseated face","1f922","🤢",":sick:","!https://cdn.jsdelivr.net/emojione/assets/png/1f922.png?v=2.2.7!"
"75",":sneezing_face:","sneezing face","1f927","🤧",":sneeze:","!https://cdn.jsdelivr.net/emojione/assets/png/1f927.png?v=2.2.7!"
"76",":smiling_imp:","smiling face with horns","1f608","😈","","!https://cdn.jsdelivr.net/emojione/assets/png/1f608.png?v=2.2.7!"
"77",":imp:","imp","1f47f","👿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47f.png?v=2.2.7!"
"78",":japanese_ogre:","japanese ogre","1f479","👹","","!https://cdn.jsdelivr.net/emojione/assets/png/1f479.png?v=2.2.7!"
"79",":japanese_goblin:","japanese goblin","1f47a","👺","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47a.png?v=2.2.7!"
"80",":skull:","skull","1f480","💀",":skeleton:","!https://cdn.jsdelivr.net/emojione/assets/png/1f480.png?v=2.2.7!"
"81",":skull_crossbones:","skull and crossbones","2620","☠",":skull_and_crossbones:","!https://cdn.jsdelivr.net/emojione/assets/png/2620.png?v=2.2.7!"
"82",":ghost:","ghost","1f47b","👻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47b.png?v=2.2.7!"
"83",":alien:","extraterrestrial alien","1f47d","👽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47d.png?v=2.2.7!"
"84",":space_invader:","alien monster","1f47e","👾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47e.png?v=2.2.7!"
"85",":robot:","robot face","1f916","🤖",":robot_face:","!https://cdn.jsdelivr.net/emojione/assets/png/1f916.png?v=2.2.7!"
"86",":poop:","pile of poo","1f4a9","💩",":shit: :hankey: :poo:","!https://cdn.jsdelivr.net/emojione/assets/png/1f4a9.png?v=2.2.7!"
"87",":smiley_cat:","smiling cat face with open mouth","1f63a","😺","","!https://cdn.jsdelivr.net/emojione/assets/png/1f63a.png?v=2.2.7!"
"88",":smile_cat:","grinning cat face with smiling eyes","1f638","😸","","!https://cdn.jsdelivr.net/emojione/assets/png/1f638.png?v=2.2.7!"
"89",":joy_cat:","cat face with tears of joy","1f639","😹","","!https://cdn.jsdelivr.net/emojione/assets/png/1f639.png?v=2.2.7!"
"90",":heart_eyes_cat:","smiling cat face with heart-shaped eyes","1f63b","😻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f63b.png?v=2.2.7!"
"91",":smirk_cat:","cat face with wry smile","1f63c","😼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f63c.png?v=2.2.7!"
"92",":kissing_cat:","kissing cat face with closed eyes","1f63d","😽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f63d.png?v=2.2.7!"
"93",":scream_cat:","weary cat face","1f640","🙀","","!https://cdn.jsdelivr.net/emojione/assets/png/1f640.png?v=2.2.7!"
"94",":crying_cat_face:","crying cat face","1f63f","😿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f63f.png?v=2.2.7!"
"95",":pouting_cat:","pouting cat face","1f63e","😾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f63e.png?v=2.2.7!"
"96",":see_no_evil:","see-no-evil monkey","1f648","🙈","","!https://cdn.jsdelivr.net/emojione/assets/png/1f648.png?v=2.2.7!"
"97",":hear_no_evil:","hear-no-evil monkey","1f649","🙉","","!https://cdn.jsdelivr.net/emojione/assets/png/1f649.png?v=2.2.7!"
"98",":speak_no_evil:","speak-no-evil monkey","1f64a","🙊","","!https://cdn.jsdelivr.net/emojione/assets/png/1f64a.png?v=2.2.7!"
"99",":boy:","boy","1f466","👦","","!https://cdn.jsdelivr.net/emojione/assets/png/1f466.png?v=2.2.7!"
"100",":boy_tone1:","boy tone 1","1f466-1f3fb","👦 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f466-1f3fb.png?v=2.2.7!"
"101",":boy_tone2:","boy tone 2","1f466-1f3fc","👦 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f466-1f3fc.png?v=2.2.7!"
"102",":boy_tone3:","boy tone 3","1f466-1f3fd","👦 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f466-1f3fd.png?v=2.2.7!"
"103",":boy_tone4:","boy tone 4","1f466-1f3fe","👦 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f466-1f3fe.png?v=2.2.7!"
"104",":boy_tone5:","boy tone 5","1f466-1f3ff","👦 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f466-1f3ff.png?v=2.2.7!"
"105",":girl:","girl","1f467","👧","","!https://cdn.jsdelivr.net/emojione/assets/png/1f467.png?v=2.2.7!"
"106",":girl_tone1:","girl tone 1","1f467-1f3fb","👧 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f467-1f3fb.png?v=2.2.7!"
"107",":girl_tone2:","girl tone 2","1f467-1f3fc","👧 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f467-1f3fc.png?v=2.2.7!"
"108",":girl_tone3:","girl tone 3","1f467-1f3fd","👧 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f467-1f3fd.png?v=2.2.7!"
"109",":girl_tone4:","girl tone 4","1f467-1f3fe","👧 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f467-1f3fe.png?v=2.2.7!"
"110",":girl_tone5:","girl tone 5","1f467-1f3ff","👧 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f467-1f3ff.png?v=2.2.7!"
"111",":man:","man","1f468","👨","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468.png?v=2.2.7!"
"112",":man_tone1:","man tone 1","1f468-1f3fb","👨 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f3fb.png?v=2.2.7!"
"113",":man_tone2:","man tone 2","1f468-1f3fc","👨 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f3fc.png?v=2.2.7!"
"114",":man_tone3:","man tone 3","1f468-1f3fd","👨 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f3fd.png?v=2.2.7!"
"115",":man_tone4:","man tone 4","1f468-1f3fe","👨 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f3fe.png?v=2.2.7!"
"116",":man_tone5:","man tone 5","1f468-1f3ff","👨 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f468-1f3ff.png?v=2.2.7!"
"117",":woman:","woman","1f469","👩","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469.png?v=2.2.7!"
"118",":woman_tone1:","woman tone 1","1f469-1f3fb","👩 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f3fb.png?v=2.2.7!"
"119",":woman_tone2:","woman tone 2","1f469-1f3fc","👩 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f3fc.png?v=2.2.7!"
"120",":woman_tone3:","woman tone 3","1f469-1f3fd","👩 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f3fd.png?v=2.2.7!"
"121",":woman_tone4:","woman tone 4","1f469-1f3fe","👩 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f3fe.png?v=2.2.7!"
"122",":woman_tone5:","woman tone 5","1f469-1f3ff","👩 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f469-1f3ff.png?v=2.2.7!"
"123",":older_man:","older man","1f474","👴","","!https://cdn.jsdelivr.net/emojione/assets/png/1f474.png?v=2.2.7!"
"124",":older_man_tone1:","older man tone 1","1f474-1f3fb","👴 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f474-1f3fb.png?v=2.2.7!"
"125",":older_man_tone2:","older man tone 2","1f474-1f3fc","👴 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f474-1f3fc.png?v=2.2.7!"
"126",":older_man_tone3:","older man tone 3","1f474-1f3fd","👴 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f474-1f3fd.png?v=2.2.7!"
"127",":older_man_tone4:","older man tone 4","1f474-1f3fe","👴 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f474-1f3fe.png?v=2.2.7!"
"128",":older_man_tone5:","older man tone 5","1f474-1f3ff","👴 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f474-1f3ff.png?v=2.2.7!"
"129",":older_woman:","older woman","1f475","👵",":grandma:","!https://cdn.jsdelivr.net/emojione/assets/png/1f475.png?v=2.2.7!"
"130",":older_woman_tone1:","older woman tone 1","1f475-1f3fb","👵 🏻",":grandma_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f475-1f3fb.png?v=2.2.7!"
"131",":older_woman_tone2:","older woman tone 2","1f475-1f3fc","👵 🏼",":grandma_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f475-1f3fc.png?v=2.2.7!"
"132",":older_woman_tone3:","older woman tone 3","1f475-1f3fd","👵 🏽",":grandma_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f475-1f3fd.png?v=2.2.7!"
"133",":older_woman_tone4:","older woman tone 4","1f475-1f3fe","👵 🏾",":grandma_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f475-1f3fe.png?v=2.2.7!"
"134",":older_woman_tone5:","older woman tone 5","1f475-1f3ff","👵 🏿",":grandma_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f475-1f3ff.png?v=2.2.7!"
"135",":baby:","baby","1f476","👶","","!https://cdn.jsdelivr.net/emojione/assets/png/1f476.png?v=2.2.7!"
"136",":baby_tone1:","baby tone 1","1f476-1f3fb","👶 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f476-1f3fb.png?v=2.2.7!"
"137",":baby_tone2:","baby tone 2","1f476-1f3fc","👶 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f476-1f3fc.png?v=2.2.7!"
"138",":baby_tone3:","baby tone 3","1f476-1f3fd","👶 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f476-1f3fd.png?v=2.2.7!"
"139",":baby_tone4:","baby tone 4","1f476-1f3fe","👶 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f476-1f3fe.png?v=2.2.7!"
"140",":baby_tone5:","baby tone 5","1f476-1f3ff","👶 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f476-1f3ff.png?v=2.2.7!"
"141",":angel:","baby angel","1f47c","👼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47c.png?v=2.2.7!"
"142",":angel_tone1:","baby angel tone 1","1f47c-1f3fb","👼 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47c-1f3fb.png?v=2.2.7!"
"143",":angel_tone2:","baby angel tone 2","1f47c-1f3fc","👼 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47c-1f3fc.png?v=2.2.7!"
"144",":angel_tone3:","baby angel tone 3","1f47c-1f3fd","👼 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47c-1f3fd.png?v=2.2.7!"
"145",":angel_tone4:","baby angel tone 4","1f47c-1f3fe","👼 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47c-1f3fe.png?v=2.2.7!"
"146",":angel_tone5:","baby angel tone 5","1f47c-1f3ff","👼 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f47c-1f3ff.png?v=2.2.7!"
"147",":cop:","police officer","1f46e","👮","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46e.png?v=2.2.7!"
"148",":cop_tone1:","police officer tone 1","1f46e-1f3fb","👮 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46e-1f3fb.png?v=2.2.7!"
"149",":cop_tone2:","police officer tone 2","1f46e-1f3fc","👮 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46e-1f3fc.png?v=2.2.7!"
"150",":cop_tone3:","police officer tone 3","1f46e-1f3fd","👮 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46e-1f3fd.png?v=2.2.7!"
"151",":cop_tone4:","police officer tone 4","1f46e-1f3fe","👮 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46e-1f3fe.png?v=2.2.7!"
"152",":cop_tone5:","police officer tone 5","1f46e-1f3ff","👮 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f46e-1f3ff.png?v=2.2.7!"
"153",":spy:","sleuth or spy","1f575","🕵",":sleuth_or_spy:","!https://cdn.jsdelivr.net/emojione/assets/png/1f575.png?v=2.2.7!"
"154",":spy_tone1:","sleuth or spy tone 1","1f575-1f3fb","🕵 🏻",":sleuth_or_spy_tone1:","!https://cdn.jsdelivr.net/emojione/assets/png/1f575-1f3fb.png?v=2.2.7!"
"155",":spy_tone2:","sleuth or spy tone 2","1f575-1f3fc","🕵 🏼",":sleuth_or_spy_tone2:","!https://cdn.jsdelivr.net/emojione/assets/png/1f575-1f3fc.png?v=2.2.7!"
"156",":spy_tone3:","sleuth or spy tone 3","1f575-1f3fd","🕵 🏽",":sleuth_or_spy_tone3:","!https://cdn.jsdelivr.net/emojione/assets/png/1f575-1f3fd.png?v=2.2.7!"
"157",":spy_tone4:","sleuth or spy tone 4","1f575-1f3fe","🕵 🏾",":sleuth_or_spy_tone4:","!https://cdn.jsdelivr.net/emojione/assets/png/1f575-1f3fe.png?v=2.2.7!"
"158",":spy_tone5:","sleuth or spy tone 5","1f575-1f3ff","🕵 🏿",":sleuth_or_spy_tone5:","!https://cdn.jsdelivr.net/emojione/assets/png/1f575-1f3ff.png?v=2.2.7!"
"159",":guardsman:","guardsman","1f482","💂","","!https://cdn.jsdelivr.net/emojione/assets/png/1f482.png?v=2.2.7!"
"160",":guardsman_tone1:","guardsman tone 1","1f482-1f3fb","💂 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f482-1f3fb.png?v=2.2.7!"
"161",":guardsman_tone2:","guardsman tone 2","1f482-1f3fc","💂 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f482-1f3fc.png?v=2.2.7!"
"162",":guardsman_tone3:","guardsman tone 3","1f482-1f3fd","💂 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f482-1f3fd.png?v=2.2.7!"
"163",":guardsman_tone4:","guardsman tone 4","1f482-1f3fe","💂 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f482-1f3fe.png?v=2.2.7!"
"164",":guardsman_tone5:","guardsman tone 5","1f482-1f3ff","💂 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f482-1f3ff.png?v=2.2.7!"
"165",":construction_worker:","construction worker","1f477","👷","","!https://cdn.jsdelivr.net/emojione/assets/png/1f477.png?v=2.2.7!"
"166",":construction_worker_tone1:","construction worker tone 1","1f477-1f3fb","👷 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f477-1f3fb.png?v=2.2.7!"
"167",":construction_worker_tone2:","construction worker tone 2","1f477-1f3fc","👷 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f477-1f3fc.png?v=2.2.7!"
"168",":construction_worker_tone3:","construction worker tone 3","1f477-1f3fd","👷 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f477-1f3fd.png?v=2.2.7!"
"169",":construction_worker_tone4:","construction worker tone 4","1f477-1f3fe","👷 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f477-1f3fe.png?v=2.2.7!"
"170",":construction_worker_tone5:","construction worker tone 5","1f477-1f3ff","👷 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f477-1f3ff.png?v=2.2.7!"
"171",":man_with_turban:","man with turban","1f473","👳","","!https://cdn.jsdelivr.net/emojione/assets/png/1f473.png?v=2.2.7!"
"172",":man_with_turban_tone1:","man with turban tone 1","1f473-1f3fb","👳 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f473-1f3fb.png?v=2.2.7!"
"173",":man_with_turban_tone2:","man with turban tone 2","1f473-1f3fc","👳 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f473-1f3fc.png?v=2.2.7!"
"174",":man_with_turban_tone3:","man with turban tone 3","1f473-1f3fd","👳 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f473-1f3fd.png?v=2.2.7!"
"175",":man_with_turban_tone4:","man with turban tone 4","1f473-1f3fe","👳 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f473-1f3fe.png?v=2.2.7!"
"176",":man_with_turban_tone5:","man with turban tone 5","1f473-1f3ff","👳 🏿","","!https://cdn.jsdelivr.net/emojione/assets/png/1f473-1f3ff.png?v=2.2.7!"
"177",":person_with_blond_hair:","person with blond hair","1f471","👱","","!https://cdn.jsdelivr.net/emojione/assets/png/1f471.png?v=2.2.7!"
"178",":person_with_blond_hair_tone1:","person with blond hair tone 1","1f471-1f3fb","👱 🏻","","!https://cdn.jsdelivr.net/emojione/assets/png/1f471-1f3fb.png?v=2.2.7!"
"179",":person_with_blond_hair_tone2:","person with blond hair tone 2","1f471-1f3fc","👱 🏼","","!https://cdn.jsdelivr.net/emojione/assets/png/1f471-1f3fc.png?v=2.2.7!"
"180",":person_with_blond_hair_tone3:","person with blond hair tone 3","1f471-1f3fd","👱 🏽","","!https://cdn.jsdelivr.net/emojione/assets/png/1f471-1f3fd.png?v=2.2.7!"
"181",":person_with_blond_hair_tone4:","person with blond hair tone 4","1f471-1f3fe","👱 🏾","","!https://cdn.jsdelivr.net/emojione/assets/png/1f471-1f3fe.png?v=2.2.7!"
