"index","shortname","name","unicode","unicode_encoded","aliases","image"
"1639",":flag_hn:","honduras","1f1ed-1f1f3","🇭 🇳",":hn:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ed-1f1f3.png?v=2.2.7!"
"1640",":flag_hr:","croatia","1f1ed-1f1f7","🇭 🇷",":hr:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ed-1f1f7.png?v=2.2.7!"
"1641",":flag_ht:","haiti","1f1ed-1f1f9","🇭 🇹",":ht:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ed-1f1f9.png?v=2.2.7!"
"1642",":flag_hu:","hungary","1f1ed-1f1fa","🇭 🇺",":hu:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ed-1f1fa.png?v=2.2.7!"
"1643",":flag_ic:","canary islands","1f1ee-1f1e8","🇮 🇨",":ic:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1e8.png?v=2.2.7!"
"1644",":flag_id:","indonesia","1f1ee-1f1e9","🇮 🇩",":indonesia:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1e9.png?v=2.2.7!"
"1645",":flag_ie:","ireland","1f1ee-1f1ea","🇮 🇪",":ie:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1ea.png?v=2.2.7!"
"1646",":flag_il:","israel","1f1ee-1f1f1","🇮 🇱",":il:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f1.png?v=2.2.7!"
"1647",":flag_im:","isle of man","1f1ee-1f1f2","🇮 🇲",":im:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f2.png?v=2.2.7!"
"1648",":flag_in:","india","1f1ee-1f1f3","🇮 🇳",":in:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f3.png?v=2.2.7!"
"1649",":flag_io:","british indian ocean territory","1f1ee-1f1f4","🇮 🇴",":io:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f4.png?v=2.2.7!"
"1650",":flag_iq:","iraq","1f1ee-1f1f6","🇮 🇶",":iq:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f6.png?v=2.2.7!"
"1651",":flag_ir:","iran","1f1ee-1f1f7","🇮 🇷",":ir:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f7.png?v=2.2.7!"
"1652",":flag_is:","iceland","1f1ee-1f1f8","🇮 🇸",":is:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f8.png?v=2.2.7!"
"1653",":flag_it:","italy","1f1ee-1f1f9","🇮 🇹",":it:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ee-1f1f9.png?v=2.2.7!"
"1654",":flag_je:","jersey","1f1ef-1f1ea","🇯 🇪",":je:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ef-1f1ea.png?v=2.2.7!"
"1655",":flag_jm:","jamaica","1f1ef-1f1f2","🇯 🇲",":jm:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ef-1f1f2.png?v=2.2.7!"
"1656",":flag_jo:","jordan","1f1ef-1f1f4","🇯 🇴",":jo:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ef-1f1f4.png?v=2.2.7!"
"1657",":flag_jp:","japan","1f1ef-1f1f5","🇯 🇵",":jp:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1ef-1f1f5.png?v=2.2.7!"
"1658",":flag_ke:","kenya","1f1f0-1f1ea","🇰 🇪",":ke:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1ea.png?v=2.2.7!"
"1659",":flag_kg:","kyrgyzstan","1f1f0-1f1ec","🇰 🇬",":kg:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1ec.png?v=2.2.7!"
"1660",":flag_kh:","cambodia","1f1f0-1f1ed","🇰 🇭",":kh:","!https://cdn.jsdelivr.net/emojione/assets/png/1f1f0-1f1ed.png?v=2.2.7!"
